200 19900
0 1 59
0 2 21
0 3 70
0 4 92
0 5 22
0 6 19
0 7 2
0 8 11
0 9 36
0 10 97
0 11 86
0 12 57
0 13 9
0 14 14
0 15 47
0 16 52
0 17 71
0 18 8
0 19 53
0 20 2
0 21 99
0 22 100
0 23 50
0 24 83
0 25 42
0 26 39
0 27 43
0 28 38
0 29 39
0 30 17
0 31 11
0 32 99
0 33 42
0 34 10
0 35 99
0 36 12
0 37 38
0 38 1
0 39 93
0 40 72
0 41 91
0 42 83
0 43 92
0 44 94
0 45 49
0 46 40
0 47 37
0 48 66
0 49 53
0 50 90
0 51 93
0 52 83
0 53 73
0 54 11
0 55 45
0 56 77
0 57 25
0 58 89
0 59 52
0 60 19
0 61 3
0 62 33
0 63 4
0 64 84
0 65 71
0 66 1
0 67 46
0 68 28
0 69 10
0 70 3
0 71 77
0 72 2
0 73 89
0 74 22
0 75 46
0 76 14
0 77 24
0 78 62
0 79 67
0 80 4
0 81 40
0 82 91
0 83 6
0 84 66
0 85 99
0 86 98
0 87 22
0 88 28
0 89 26
0 90 65
0 91 61
0 92 45
0 93 80
0 94 72
0 95 33
0 96 39
0 97 56
0 98 35
0 99 28
0 100 81
0 101 21
0 102 29
0 103 96
0 104 76
0 105 82
0 106 34
0 107 3
0 108 7
0 109 18
0 110 4
0 111 34
0 112 68
0 113 62
0 114 38
0 115 14
0 116 97
0 117 34
0 118 94
0 119 28
0 120 72
0 121 42
0 122 63
0 123 10
0 124 41
0 125 48
0 126 83
0 127 98
0 128 49
0 129 74
0 130 16
0 131 9
0 132 94
0 133 90
0 134 77
0 135 34
0 136 6
0 137 49
0 138 96
0 139 28
0 140 99
0 141 23
0 142 37
0 143 14
0 144 26
0 145 26
0 146 86
0 147 97
0 148 6
0 149 75
0 150 96
0 151 80
0 152 14
0 153 17
0 154 94
0 155 94
0 156 24
0 157 41
0 158 66
0 159 1
0 160 80
0 161 88
0 162 30
0 163 41
0 164 24
0 165 39
0 166 27
0 167 69
0 168 40
0 169 20
0 170 25
0 171 62
0 172 55
0 173 28
0 174 40
0 175 70
0 176 89
0 177 7
0 178 35
0 179 5
0 180 18
0 181 79
0 182 23
0 183 98
0 184 47
0 185 27
0 186 10
0 187 94
0 188 77
0 189 76
0 190 100
0 191 100
0 192 17
0 193 83
0 194 25
0 195 19
0 196 18
0 197 58
0 198 32
0 199 13
1 2 50
1 3 79
1 4 33
1 5 9
1 6 12
1 7 18
1 8 45
1 9 35
1 10 76
1 11 14
1 12 23
1 13 100
1 14 98
1 15 91
1 16 9
1 17 82
1 18 35
1 19 30
1 20 26
1 21 98
1 22 60
1 23 71
1 24 23
1 25 44
1 26 87
1 27 20
1 28 73
1 29 76
1 30 17
1 31 27
1 32 23
1 33 36
1 34 48
1 35 42
1 36 99
1 37 86
1 38 21
1 39 62
1 40 26
1 41 16
1 42 68
1 43 43
1 44 98
1 45 74
1 46 32
1 47 51
1 48 68
1 49 86
1 50 45
1 51 98
1 52 80
1 53 12
1 54 19
1 55 58
1 56 44
1 57 30
1 58 16
1 59 2
1 60 69
1 61 82
1 62 15
1 63 75
1 64 73
1 65 49
1 66 85
1 67 83
1 68 76
1 69 86
1 70 60
1 71 8
1 72 41
1 73 46
1 74 97
1 75 4
1 76 57
1 77 16
1 78 68
1 79 36
1 80 18
1 81 60
1 82 68
1 83 60
1 84 28
1 85 88
1 86 17
1 87 1
1 88 33
1 89 34
1 90 15
1 91 16
1 92 24
1 93 33
1 94 85
1 95 15
1 96 45
1 97 88
1 98 1
1 99 2
1 100 93
1 101 57
1 102 8
1 103 33
1 104 86
1 105 58
1 106 94
1 107 5
1 108 95
1 109 64
1 110 21
1 111 38
1 112 68
1 113 39
1 114 18
1 115 6
1 116 75
1 117 73
1 118 90
1 119 74
1 120 12
1 121 28
1 122 15
1 123 36
1 124 60
1 125 76
1 126 86
1 127 41
1 128 14
1 129 94
1 130 89
1 131 25
1 132 41
1 133 70
1 134 98
1 135 65
1 136 100
1 137 82
1 138 42
1 139 66
1 140 89
1 141 2
1 142 26
1 143 91
1 144 98
1 145 52
1 146 63
1 147 28
1 148 99
1 149 61
1 150 54
1 151 84
1 152 15
1 153 64
1 154 22
1 155 69
1 156 23
1 157 51
1 158 95
1 159 43
1 160 28
1 161 18
1 162 29
1 163 20
1 164 97
1 165 10
1 166 5
1 167 88
1 168 79
1 169 39
1 170 65
1 171 6
1 172 68
1 173 20
1 174 62
1 175 57
1 176 81
1 177 63
1 178 47
1 179 95
1 180 17
1 181 80
1 182 31
1 183 16
1 184 93
1 185 88
1 186 97
1 187 58
1 188 41
1 189 53
1 190 24
1 191 90
1 192 31
1 193 63
1 194 27
1 195 36
1 196 66
1 197 38
1 198 23
1 199 48
2 3 24
2 4 51
2 5 7
2 6 56
2 7 58
2 8 11
2 9 65
2 10 71
2 11 94
2 12 14
2 13 72
2 14 18
2 15 80
2 16 62
2 17 93
2 18 96
2 19 70
2 20 48
2 21 59
2 22 24
2 23 20
2 24 12
2 25 65
2 26 41
2 27 75
2 28 16
2 29 56
2 30 99
2 31 33
2 32 88
2 33 94
2 34 14
2 35 2
2 36 99
2 37 42
2 38 76
2 39 38
2 40 41
2 41 13
2 42 17
2 43 49
2 44 27
2 45 95
2 46 92
2 47 98
2 48 99
2 49 12
2 50 7
2 51 42
2 52 96
2 53 32
2 54 68
2 55 4
2 56 95
2 57 13
2 58 27
2 59 87
2 60 82
2 61 13
2 62 4
2 63 2
2 64 75
2 65 68
2 66 27
2 67 29
2 68 35
2 69 56
2 70 61
2 71 27
2 72 45
2 73 44
2 74 27
